site,country,longitude,latitude,species,count,family,genus,binomial,endemism,cultivated,plant_height,seed_mass,sla,wood_density
26351755,Portugal,2635000,1755000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26351755,Portugal,2635000,1755000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26351765,Portugal,2635000,1765000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26351955,Portugal,2635000,1955000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26351955,Portugal,2635000,1955000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26351965,Portugal,2635000,1965000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26351965,Portugal,2635000,1965000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26451755,Portugal,2645000,1755000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26451765,Portugal,2645000,1765000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26451765,Portugal,2645000,1765000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26451765,Portugal,2645000,1765000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26451775,Portugal,2645000,1775000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26451775,Portugal,2645000,1775000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26451955,Portugal,2645000,1955000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26451955,Portugal,2645000,1955000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26451965,Portugal,2645000,1965000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26451965,Portugal,2645000,1965000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26451965,Portugal,2645000,1965000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26451975,Portugal,2645000,1975000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26451975,Portugal,2645000,1975000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26451975,Portugal,2645000,1975000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26451985,Portugal,2645000,1985000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26451985,Portugal,2645000,1985000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26451985,Portugal,2645000,1985000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26551765,Portugal,2655000,1765000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26551765,Portugal,2655000,1765000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26551765,Portugal,2655000,1765000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26551775,Portugal,2655000,1775000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26551775,Portugal,2655000,1775000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26551775,Portugal,2655000,1775000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26551785,Portugal,2655000,1785000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26551785,Portugal,2655000,1785000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26551795,Portugal,2655000,1795000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26551795,Portugal,2655000,1795000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26551915,Portugal,2655000,1915000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26551915,Portugal,2655000,1915000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26551915,Portugal,2655000,1915000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26551925,Portugal,2655000,1925000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26551925,Portugal,2655000,1925000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26551925,Portugal,2655000,1925000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26551935,Portugal,2655000,1935000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26551935,Portugal,2655000,1935000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26551935,Portugal,2655000,1935000,PPIR,1,Pinaceae,Pinus,Pinus pinaster,0,0,19.7538425,55.8343384615385,3.35753899415492,0.44302767997764
26551945,Portugal,2655000,1945000,JPHO,1,Cupressaceae,Juniperus,Juniperus phoenicea,0,0,4.8815,79.86,4.365245967,0.64875
26551945,Portugal,2655000,1945000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
26551965,Portugal,2655000,1965000,PPIA,1,Pinaceae,Pinus,Pinus pinea,0,1,22.67,626.188823529412,4.21617610101935,0.517861700163796
